name,url,price,rating,review
"Samsung Galaxy M32 5G (Sky Blue, 8GB RAM, 128GB Storage) ",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0960339Z6EHHSOFPOD&url=%2FSamsung-Galaxy-Blue-128GB-Storage%2Fdp%2FB09CGJFY5N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DSamsung%2BPhone%26qid%3D1649343932%26sr%3D8-1-spons%26psc%3D1&qualifier=1649343932&id=1732210008807977&widgetName=sp_atf,18999,4.1,25255
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate ",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ/ref=sr_1_2?keywords=Samsung+Phone&qid=1649343932&sr=8-2,11499,4.1,132718
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime ",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Replacement/dp/B08XJG8MQM/ref=sr_1_3?keywords=Samsung+Phone&qid=1649343932&sr=8-3,13499,4.1,132718
"Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate ",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJCMGL7/ref=sr_1_4?keywords=Samsung+Phone&qid=1649343932&sr=8-4,11499,4.1,132718
"Samsung Galaxy M21 2021 Edition (Arctic Blue, 4GB RAM, 64GB Storage) | FHD+ sAMOLED | 6 Months Free Screen Replacement for Prime (SM-M215GLBDINS) ",https://www.amazon.in/Samsung-Storage-sAMOLED-Replacement-SM-M215GLBDINS/dp/B098NGDNMT/ref=sr_1_5?keywords=Samsung+Phone&qid=1649343932&sr=8-5,12999,4.2,213831
"Samsung Galaxy M32 5G (Sky Blue, 6GB RAM, 128GB Storage) ",https://www.amazon.in/Samsung-Galaxy-Blue-128GB-Storage/dp/B09CGJK2HG/ref=sr_1_6?keywords=Samsung+Phone&qid=1649343932&sr=8-6,16999,4.1,25255
"Samsung Galaxy M32 (Light Blue, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime ",https://www.amazon.in/Samsung-Galaxy-Storage-Months-Replacement/dp/B096VD213D/ref=sr_1_7?keywords=Samsung+Phone&qid=1649343932&sr=8-7,12999,4.1,34378
"Samsung Galaxy A22 5G (Gray, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B08ZJPN21K/ref=sr_1_8?keywords=Samsung+Phone&qid=1649343932&sr=8-8,20999,3.9,1193
"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate ",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJGNQS7/ref=sr_1_9?keywords=Samsung+Phone&qid=1649343932&sr=8-9,11499,4.1,132718
"Redmi Note 11 (Horizon Blue, 6GB RAM, 128GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | Alexa Built-in ",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06301923D1XDVTYWI99C&url=%2FRedmi-Horizon-Storage-Qualcomm%25C2%25AE-SnapdragonTM%2Fdp%2FB09QSBF2T7%2Fref%3Dsr_1_10_sspa%3Fkeywords%3DSamsung%2BPhone%26qid%3D1649343932%26sr%3D8-10-spons%26psc%3D1&qualifier=1649343932&id=1732210008807977&widgetName=sp_mtf,15999,4.0,7325
"I KALL Z1 Smartphone (Grey, 5.5 Inch, 4GB, 32G) | 4G Volte | Android 8.1 ",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06306771GGBQ0WO9JYWT&url=%2FKALL-Smartphone-Grey-Volte-Android%2Fdp%2FB09V33B2HM%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DSamsung%2BPhone%26qid%3D1649343932%26sr%3D8-11-spons%26psc%3D1&qualifier=1649343932&id=1732210008807977&widgetName=sp_mtf,5399,1.4,7
"Samsung Galaxy M12 (Black,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime ",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Replacement/dp/B08XJBPCTR/ref=sr_1_12?keywords=Samsung+Phone&qid=1649343932&sr=8-12,13499,4.1,132718
"Samsung Galaxy M32 (Light Blue, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime ",https://www.amazon.in/Samsung-Galaxy-Storage-Months-Replacement/dp/B096VDR283/ref=sr_1_13?keywords=Samsung+Phone&qid=1649343932&sr=8-13,14999,4.1,34378
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage) ",https://www.amazon.in/Samsung-Galaxy-Raven-Black-Storage/dp/B07HGH8D2R/ref=sr_1_14?keywords=Samsung+Phone&qid=1649343932&sr=8-14,Product Not Available,4.2,213831
"Samsung Galaxy M21 2021 Edition (Charcoal Black, 4GB RAM, 64GB Storage) | FHD+ sAMOLED | 6 Months Free Screen Replacement for Prime (SM-M215GZKDINS) ",https://www.amazon.in/Samsung-Charcoal-Storage-Replacement-SM-M215GZKDINS/dp/B098NFJXXL/ref=sr_1_15?keywords=Samsung+Phone&qid=1649343932&sr=8-15,12999,4.2,213831
"Samsung Galaxy M32 (Black, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime ",https://www.amazon.in/Samsung-Galaxy-Storage-Months-Replacement/dp/B096VD6RQG/ref=sr_1_16?keywords=Samsung+Phone&qid=1649343932&sr=8-16,14999,4.1,34378
"Samsung Galaxy M32 5G (Slate Black, 6GB RAM, 128GB Storage) ",https://www.amazon.in/Samsung-Galaxy-Slate-Black-Storage/dp/B09CGLRLYM/ref=sr_1_17?keywords=Samsung+Phone&qid=1649343932&sr=8-17,16999,4.1,25255
"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers ",https://www.amazon.in/Samsung-Galaxy-Cloud-128GB-Storage/dp/B08VB57558/ref=sr_1_18?keywords=Samsung+Phone&qid=1649343932&sr=8-18,39990,4.4,13153
"Samsung Galaxy A13 Blue, 6GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers ",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B09VKCRFP1/ref=sr_1_19?keywords=Samsung+Phone&qid=1649343932&sr=8-19,17499,5.0,2
"Vivo Y73 (Diamond Flare, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A10056262YFS3PTDIJCBL&url=%2FVivo-Y73-8GB-RAM-128GB%2Fdp%2FB08ZMVPYH6%2Fref%3Dsr_1_20_sspa%3Fkeywords%3DSamsung%2BPhone%26qid%3D1649343932%26sr%3D8-20-spons%26psc%3D1&qualifier=1649343932&id=1732210008807977&widgetName=sp_btf,19989,4.4,1643
"I KALL Z7 Smartphone (6.26 Inch, 4GB, 32GB), Grey | 13MP Camera | Android 10 ",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A062307723Y570E8ED31E&url=%2FKALL-Smartphone-Grey-Camera-Android%2Fdp%2FB09V32QLBP%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DSamsung%2BPhone%26qid%3D1649343932%26sr%3D8-21-spons%26psc%3D1&qualifier=1649343932&id=1732210008807977&widgetName=sp_btf,6499,1.0,1
